t,x
1,"152
"
2,"147
"
3,"147
"
4,"145
"
5,"144
"
6,"143
"
7,"143
"
8,"143
"
9,"143
"
10,"144
"
11,"145
"
12,"145
"
13,"146
"
14,"144
"
15,"145
"
16,"147
"
17,"146
"
18,"145
"
19,"145
"
20,"145
"
21,"143
"
22,"139
"
23,"138
"
24,"137
"
25,"136
"
26,"135
"
27,"134
"
28,"134
"
29,"133
"
30,"133
"
31,"132
"
32,"132
"
33,"132
"
34,"132
"
35,"132
"
36,"132
"
37,"132
"
38,"132
"
39,"131
"
40,"131
"
41,"130
"
42,"130
"
43,"130
"
44,"130
"
45,"130
"
46,"129
"
47,"129
"
48,"129
"
49,"129
"
50,"128
"
51,"128
"
52,"128
"
53,"128
"
54,"128
"
55,"128
"
56,"128
"
57,"128
"
58,"128
"
59,"128
"
60,"129
"
61,"128
"
62,"128
"
63,"128
"
64,"128
"
65,"129
"
66,"129
"
67,"129
"
68,"129
"
69,"129
"
70,"129
"
71,"129
"
72,"129
"
73,"129
"
74,"129
"
75,"129
"
76,"130
"
77,"130
"
78,"130
"
79,"129
"
80,"129
"
81,"129
"
82,"129
"
83,"129
"
84,"129
"
85,"129
"
86,"129
"
87,"129
"
88,"130
"
89,"129
"
90,"129
"
91,"129
"
92,"130
"
93,"129
"
94,"130
"
95,"130
"
96,"130
"
97,"130
"
98,"129
"
99,"129
"
100,"129
"
101,"129
"
102,"129
"
103,"129
"
104,"128
"
105,"128
"
106,"128
"
107,"128
"
108,"128
"
109,"129
"
110,"128
"
111,"128
"
112,"128
"
113,"129
"
114,"128
"
115,"128
"
116,"128
"
117,"129
"
118,"128
"
119,"129
"
120,"129
"
121,"130
"
122,"130
"
123,"130
"
124,"131
"
125,"131
"
126,"131
"
127,"131
"
128,"132
"
129,"132
"
130,"132
"
131,"131
"
132,"131
"
133,"132
"
134,"131
"
135,"131
"
136,"131
"
137,"131
"
138,"131
"
139,"131
"
140,"131
"
141,"131
"
142,"131
"
143,"132
"
144,"132
"
145,"132
"
146,"132
"
147,"132
"
148,"133
"
149,"133
"
150,"134
"
151,"134
"
152,"135
"
153,"135
"
154,"135
"
155,"135
"
156,"135
"
157,"135
"
158,"135
"
159,"136
"
160,"135
"
161,"135
"
162,"135
"
163,"136
"
164,"137
"
165,"136
"
166,"136
"
167,"136
"
168,"136
"
169,"136
"
170,"137
"
171,"137
"
172,"137
"
173,"137
"
174,"137
"
175,"137
"
176,"137
"
177,"137
"
178,"138
"
179,"138
"
180,"137
"
181,"138
"
182,"139
"
183,"140
"
184,"141
"
185,"141
"
186,"143
"
187,"143
"
188,"145
"
189,"146
"
190,"146
"
191,"147
"
192,"147
"
193,"147
"
194,"148
"
195,"149
"
196,"150
"
197,"150
"
198,"151
"
199,"151
"
200,"151
"
201,"152
"
202,"150
"
203,"152
"
204,"154
"
205,"153
"
206,"154
"
207,"149
"
208,"148
"
209,"148
"
210,"148
"
211,"148
"
212,"148
"
213,"149
"
214,"149
"
215,"150
"
216,
